Cre01.g000050	AT4G35590
Cre06.g249900	*
Cre06.g249950	AT3G09920
Cre06.g250000	*
Cre06.g250050	*
Cre06.g250100	AT5G49910
Cre06.g250150	*
Cre06.g250250	AT1G12840
Cre06.g250300	*
Cre06.g250450	AT3G56160
Cre06.g250500	AT5G19150
Cre06.g250550	*
Cre06.g250600	*
Cre06.g250650	AT2G14120
Cre06.g250700	*
Cre06.g250750	AT4G39910
Cre06.g250800	AT1G33680
Cre06.g250950	AT5G42820
Cre06.g251000	*
Cre06.g251050	AT3G29160
Cre06.g251100	AT5G57020
Cre06.g251150	AT1G34000
Cre06.g251200	*
Cre06.g251250	AT5G10720
Cre06.g251300	AT5G27720
Cre06.g251350	AT3G49180
Cre06.g251450	AT5G50210
Cre06.g251500	AT5G19530
Cre06.g251550	AT1G73990
Cre06.g251600	AT1G36730
Cre06.g251650	AT5G47560
Cre06.g251700	AT2G34860
Cre06.g251750	AT1G19080
Cre06.g251800	AT1G21690
Cre06.g251850	*
Cre06.g251900	AT2G28800
Cre06.g251950	AT5G13480
Cre06.g252000	*
Cre06.g252050	*
Cre06.g252100	AT5G58410
Cre06.g252150	AT2G25870
Cre06.g252200	AT5G05000
Cre06.g252250	*
Cre06.g252300	AT3G06483
Cre06.g252350	AT5G08400
Cre06.g252550	AT3G52200
Cre06.g252600	*
Cre06.g252650	AT2G43090
Cre06.g252700	AT2G32600
Cre06.g252743	*
Cre06.g252750	*
Cre06.g252801	AT5G18630
Cre06.g252950	*
Cre06.g252966	*
Cre06.g253000	*
Cre06.g253050	*
Cre06.g253150	*
Cre06.g253200	AT3G24715
Cre06.g253250	*
Cre06.g253300	AT1G65650
Cre06.g253350	AT2G35120
Cre06.g253400	*
Cre06.g253500	*
Cre06.g253900	AT1G28120
Cre06.g254100	*
Cre06.g254150	AT1G15440
Cre06.g254189	*
Cre06.g254224	*
Cre06.g254350	*
Cre06.g254400	*
Cre06.g254450	AT1G21760
Cre06.g254500	*
Cre06.g254550	*
Cre06.g254600	*
Cre06.g254700	AT1G75340
Cre06.g254800	AT2G18510
Cre06.g254850	*
Cre06.g255050	AT3G23280
Cre06.g255100	*
Cre06.g255150	*
Cre06.g255200	*
Cre06.g255250	AT1G79200
Cre06.g255300	AT1G67080
Cre06.g255350	AT3G24030
Cre06.g255400	AT2G43770
Cre06.g255450	AT3G12280
Cre06.g255500	AT3G10840
Cre06.g255550	*
Cre06.g255600	*
Cre06.g255650	*
Cre06.g255700	*
Cre06.g255750	*
Cre06.g255800	*
Cre06.g255850	*
Cre06.g255900	*
Cre06.g255950	AT5G14050
Cre06.g256000	AT1G70620
Cre06.g256050	AT4G27680
Cre06.g256100	AT4G27680
Cre06.g256150	*
Cre06.g256200	AT3G54610
Cre06.g256250	AT4G02530
Cre06.g256300	AT5G66720
Cre06.g256350	*
Cre06.g256400	*
Cre06.g256420	AT3G09360
Cre06.g256450	*
Cre06.g256500	*
Cre06.g256550	*
Cre06.g256600	*
Cre06.g256650	*
Cre06.g256700	*
Cre06.g256750	AT3G25110
Cre06.g256800	AT4G27910
Cre06.g256850	AT4G27910
Cre06.g256900	AT4G27910
Cre06.g257000	*
Cre06.g257050	AT1G32900
Cre06.g257100	*
Cre06.g257150	AT3G60245
Cre06.g257250	*
Cre06.g257300	*
Cre06.g257350	*
Cre06.g257400	*
Cre06.g257450	AT1G19910
Cre06.g257500	AT3G02520
Cre06.g257550	AT4G03115
Cre06.g257600	AT1G10510
Cre06.g257601	AT5G06290
Cre06.g257650	AT4G25130
Cre06.g257700	*
Cre06.g257750	*
Cre06.g257800	AT4G32700
Cre06.g257850	AT2G30170
Cre06.g257900	AT5G35080
Cre06.g257950	AT2G30970
Cre06.g258000	*
Cre06.g258100	AT2G39340
Cre06.g258150	AT5G65960
Cre06.g258200	AT3G15120
Cre06.g258250	*
Cre06.g258300	*
Cre06.g258350	*
Cre06.g258363	AT5G22320
Cre06.g258400	AT1G50120
Cre06.g258450	*
Cre06.g258500	*
Cre06.g258550	*
Cre06.g258574	*
Cre06.g258583	*
Cre06.g258600	AT2G32520
Cre06.g258650	AT2G17280
Cre06.g258700	AT1G03090
Cre06.g258750	AT1G18500
Cre06.g258800	*
Cre06.g258850	*
Cre06.g258900	*
Cre06.g258950	*
Cre06.g259000	*
Cre06.g259050	*
Cre06.g259100	*
Cre06.g259150	AT4G02930
Cre06.g259200	AT4G20360
Cre06.g259250	*
Cre06.g259300	*
Cre06.g259350	*
Cre06.g259450	*
Cre06.g259500	*
Cre06.g259550	AT1G02890
Cre06.g259600	AT1G50500
Cre06.g259650	AT1G14700
Cre06.g259700	AT3G52570
Cre06.g259750	*
Cre06.g259800	AT1G80930
Cre06.g259850	*
Cre06.g259900	AT4G04640
Cre06.g259950	*
Cre06.g260000	*
Cre06.g260050	*
Cre06.g260100	AT3G46180
Cre06.g260150	AT4G34360
Cre06.g260200	AT5G01340
Cre06.g260250	AT4G31040
Cre06.g260300	*
Cre06.g260350	AT2G21510
Cre06.g260400	AT3G26980
Cre06.g260450	AT5G64290
Cre06.g260500	*
Cre06.g260550	*
Cre06.g260600	AT5G44090
Cre06.g260650	AT3G57420
Cre06.g260700	AT3G10960
Cre06.g260750	*
Cre06.g260800	AT4G14147
Cre06.g260850	AT1G69070
Cre06.g260900	*
Cre06.g260950	AT3G20290
Cre06.g261000	AT1G79040
Cre06.g261100	*
Cre06.g261123	*
Cre06.g261150	AT2G43360
Cre06.g261200	AT2G29390
Cre06.g261350	*
Cre06.g261400	AT1G05320
Cre06.g261450	AT3G28730
Cre06.g261500	AT5G03880
Cre06.g261550	AT5G17620
Cre06.g261600	*
Cre06.g261650	AT5G49510
Cre06.g261700	AT1G25260
Cre06.g261750	AT2G45870
Cre06.g261800	AT1G08250
Cre06.g261850	*
Cre06.g261900	*
Cre06.g262000	AT1G03260
Cre06.g262050	AT3G17940
Cre06.g262100	AT3G24170
Cre06.g262150	*
Cre06.g262200	*
Cre06.g262250	AT1G60780
Cre06.g262300	AT3G63400
Cre06.g262350	AT4G24560
Cre06.g262400	*
Cre06.g262450	AT5G04490
Cre06.g262500	AT4G24560
Cre06.g262550	AT4G24560
Cre06.g262600	*
Cre06.g262650	*
Cre06.g262750	*
Cre06.g262800	AT1G64960
Cre06.g262850	AT5G59840
Cre06.g262900	AT2G22480
Cre06.g262950	*
Cre06.g262977	*
Cre06.g263000	*
Cre06.g263050	AT4G26310
Cre06.g263100	*
Cre06.g263150	*
Cre06.g263200	*
Cre06.g263250	*
Cre06.g263289	AT2G17570
Cre06.g263300	AT2G45740
Cre06.g263400	*
Cre06.g263450	AT5G60390
Cre06.g263500	*
Cre06.g263550	AT2G37240
Cre06.g263600	*
Cre06.g263650	AT3G61300
Cre06.g263700	*
Cre06.g263750	*
Cre06.g263800	AT4G15570
Cre06.g263841	*
Cre06.g263850	AT5G33320
Cre06.g263900	*
Cre06.g263950	AT1G10130
Cre06.g264000	*
Cre06.g264050	AT3G43230
Cre06.g264100	*
Cre06.g264150	*
Cre06.g264200	AT5G40650
Cre06.g264250	AT2G32640
Cre06.g264300	AT1G15810
Cre06.g264350	AT1G78630
Cre06.g264400	AT3G52250
Cre06.g264450	AT1G80510
Cre06.g264500	AT3G56510
Cre06.g264550	AT5G04440
Cre06.g264600	AT2G28740
Cre06.g264700	*
Cre06.g264800	AT3G45980
Cre06.g264850	*
Cre06.g264900	AT3G45980
Cre06.g264950	AT1G51060
Cre06.g265000	AT4G40030
Cre06.g265050	AT5G59970
Cre06.g265100	AT5G09930
Cre06.g265150	AT5G22030
Cre06.g265200	AT2G28740
Cre06.g265300	*
Cre06.g265350	AT1G51060
Cre06.g265400	AT3G45980
Cre06.g265500	AT4G40030
Cre06.g265550	AT2G17890
Cre06.g265700	*
Cre06.g265750	*
Cre06.g265800	AT2G33450
Cre06.g265850	AT5G46390
Cre06.g265900	AT2G23820
Cre06.g265950	*
Cre06.g266000	AT3G63280
Cre06.g266100	AT2G17520
Cre06.g266150	AT2G17520
Cre06.g266200	*
Cre06.g266300	*
Cre06.g266350	AT4G24560
Cre06.g266400	AT2G01130
Cre06.g266425	AT1G58060
Cre06.g266450	AT2G17520
Cre06.g266500	*
Cre06.g266550	AT4G13690
Cre06.g266600	AT2G28740
Cre06.g266650	AT4G40030
Cre06.g266750	AT3G45980
Cre06.g266800	*
Cre06.g266850	AT4G36620
Cre06.g266900	AT4G28740
Cre06.g266950	*
Cre06.g267000	AT2G20830
Cre06.g267050	*
Cre06.g267100	AT5G61970
Cre06.g267150	AT4G21800
Cre06.g267200	AT4G16450
Cre06.g267250	AT3G23610
Cre06.g267300	*
Cre06.g267350	*
Cre06.g267400	AT3G46920
Cre06.g267500	AT1G77440
Cre06.g267550	*
Cre06.g267600	AT5G57030
Cre06.g267650	AT2G17890
Cre06.g267700	AT1G73990
Cre06.g267750	*
Cre06.g267800	AT4G27940
Cre06.g267850	AT2G04940
Cre06.g267900	AT3G11397
Cre06.g267950	AT4G40030
Cre06.g268000	AT2G28740
Cre06.g268100	AT3G45980
Cre06.g268150	AT3G04810
Cre06.g268200	AT1G19800
Cre06.g268250	AT3G45980
Cre06.g268300	AT1G51060
Cre06.g268350	AT4G40030
Cre06.g268400	AT5G59690
Cre06.g268450	AT2G19520
Cre06.g268500	*
Cre06.g268600	AT2G21060
Cre06.g268650	*
Cre06.g268700	*
Cre06.g268750	AT4G00570
Cre06.g268800	*
Cre06.g268850	AT5G16590
Cre06.g268900	*
Cre06.g268937	*
Cre06.g268950	AT2G17700
Cre06.g269000	*
Cre06.g269050	AT3G18890
Cre06.g269100	AT1G72030
Cre06.g269150	*
Cre06.g269200	AT2G25790
Cre06.g269250	*
Cre06.g269300	AT1G30130
Cre06.g269350	AT5G08550
Cre06.g269450	AT3G11400
Cre06.g269550	AT1G19140
Cre06.g269650	AT5G01260
Cre06.g269700	*
Cre06.g269750	AT2G33270
Cre06.g269850	*
Cre06.g269865	*
Cre06.g269950	AT3G53230
Cre06.g270000	*
Cre06.g270050	*
Cre06.g270100	AT5G03650
Cre06.g270150	AT3G51870
Cre06.g270200	AT2G40116
Cre06.g270250	AT3G25100
Cre06.g270300	*
Cre06.g270400	AT3G61270
Cre06.g270500	AT4G11050
Cre06.g270550	*
Cre06.g270600	*
Cre06.g270650	AT3G59650
Cre06.g270700	AT5G27650
Cre06.g270750	*
Cre06.g270800	*
Cre06.g270850	AT2G18760
Cre06.g270900	AT5G39840
Cre06.g270950	*
Cre06.g271000	*
Cre06.g271050	AT2G36310
Cre06.g271100	AT3G48750
Cre06.g271150	*
Cre06.g271188	*
Cre06.g271200	AT3G27820
Cre06.g271250	AT4G40030
Cre06.g271300	AT2G28740
Cre06.g271350	AT1G51060
Cre06.g271400	AT5G36700
Cre06.g271450	AT1G10510
Cre06.g271500	*
Cre06.g271550	*
Cre06.g271600	*
Cre06.g271650	*
Cre06.g271700	AT4G38220
Cre06.g271750	*
Cre06.g271800	AT5G13170
Cre06.g271850	AT5G60790
Cre06.g271900	*
Cre06.g271950	AT3G27530
Cre06.g272000	AT4G14950
Cre06.g272050	AT3G08590
Cre06.g272100	AT2G40570
Cre06.g272150	*
Cre06.g272200	*
Cre06.g272250	*
Cre06.g272300	AT5G62840
Cre06.g272350	*
Cre06.g272400	AT5G03080
Cre06.g272450	*
Cre06.g272489	*
Cre06.g272500	*
Cre06.g272550	AT1G24090
Cre06.g272650	AT1G45474
Cre06.g272750	*
Cre06.g272760	*
Cre06.g272850	AT5G13510
Cre06.g272900	*
Cre06.g272950	AT1G22780
Cre06.g273000	AT3G56490
Cre06.g273050	AT1G26761
Cre06.g273100	*
Cre06.g273150	*
Cre06.g273200	AT5G43350
Cre06.g273300	AT5G26830
Cre06.g273350	*
Cre06.g273400	*
Cre06.g273413	AT4G26600
Cre06.g273450	*
Cre06.g273500	AT5G18280
Cre06.g273550	*
Cre06.g273600	AT1G23410
Cre06.g273650	AT2G33380
Cre06.g273700	AT5G23120
Cre06.g273750	AT1G67940
Cre06.g273800	*
Cre06.g273850	AT3G45980
Cre06.g273900	AT1G51060
Cre06.g273950	AT2G28740
Cre06.g274000	AT4G40030
Cre06.g274050	*
Cre06.g274150	AT2G28740
Cre06.g274200	AT1G51060
Cre06.g274300	AT2G28740
Cre06.g274350	AT4G40030
Cre06.g274400	AT5G44450
Cre06.g274450	*
Cre06.g274500	AT5G51120
Cre06.g274550	AT2G40860
Cre06.g274600	*
Cre06.g274700	AT1G50670
Cre06.g274750	AT3G45980
Cre06.g274800	AT1G51060
Cre06.g274850	AT4G40030
Cre06.g274900	AT2G28740
Cre06.g274950	AT2G45540
Cre06.g274994	*
Cre06.g275000	AT5G62850
Cre06.g275050	AT1G78660
Cre06.g275100	AT3G18610
Cre06.g275150	AT3G07400
Cre06.g275200	*
Cre06.g275250	*
Cre06.g275300	AT5G11500
Cre06.g275350	AT1G01060
Cre06.g275400	*
Cre06.g275500	AT1G72360
Cre06.g275550	AT5G66990
Cre06.g275600	*
Cre06.g275650	AT1G20200
Cre06.g275700	AT2G28740
Cre06.g275750	AT4G40030
Cre06.g275800	AT3G45980
Cre06.g275850	AT1G51060
Cre06.g275900	AT2G18050
Cre06.g275950	*
Cre06.g276000	*
Cre06.g276050	AT2G21250
Cre06.g276100	AT5G24320
Cre06.g276150	*
Cre06.g276250	*
Cre06.g276300	*
Cre06.g276350	AT2G31350
Cre06.g276371	*
Cre06.g276400	*
Cre06.g276450	AT1G06130
Cre06.g276550	AT3G45980
Cre06.g276650	AT2G28740
Cre06.g276700	AT5G43600
Cre06.g276750	*
Cre06.g276759	*
Cre06.g276800	AT2G28740
Cre06.g276850	AT4G40030
Cre06.g276950	AT1G51060
Cre06.g277000	AT3G09320
Cre06.g277100	AT5G39410
Cre06.g277150	*
Cre06.g277200	AT5G57590
Cre06.g277250	*
Cre06.g277350	AT4G38130
Cre06.g277400	*
Cre06.g277500	*
Cre06.g277550	*
Cre06.g277600	*
Cre06.g277650	AT3G61320
Cre06.g277700	AT3G45040
Cre06.g277750	*
Cre06.g277800	AT5G57160
Cre06.g277850	*
Cre06.g277960	*
Cre06.g278150	*
Cre06.g278200	AT5G24930
Cre06.g278250	*
Cre06.g278300	AT1G79450
Cre06.g278350	AT1G15710
Cre06.g278400	*
Cre06.g278450	AT3G06483
Cre06.g278500	AT5G47680
Cre06.g278550	AT4G38640
Cre06.g278600	*
Cre06.g278650	*
Cre06.g278700	AT2G26650
Cre06.g278750	AT3G54110
Cre06.g278800	AT5G19750
Cre06.g278850	AT4G29170
Cre06.g278900	AT5G05680
Cre06.g278950	*
Cre06.g279000	AT4G31300
Cre06.g279050	*
Cre06.g279100	*
Cre06.g279150	AT4G31180
Cre06.g279200	AT3G53270
Cre06.g279250	AT1G11400
Cre06.g279300	AT1G53420
Cre06.g279350	AT3G55850
Cre06.g279400	AT3G45010
Cre06.g279450	*
Cre06.g279474	AT2G39740
Cre06.g279500	AT5G61670
Cre06.g279550	AT1G16680
Cre06.g279600	*
Cre06.g279650	*
Cre06.g279750	AT2G45240
Cre06.g279800	*
Cre06.g279850	AT5G02240
Cre06.g279900	*
Cre06.g279950	*
Cre06.g280000	*
Cre06.g280050	AT1G54490
Cre06.g280100	AT5G38630
Cre06.g280150	AT3G56650
Cre06.g280200	AT2G42780
Cre06.g280227	*
Cre06.g280250	*
Cre06.g280300	AT3G17205
Cre06.g280350	AT3G18140
Cre06.g280400	*
Cre06.g280420	AT2G39740
Cre06.g280450	*
Cre06.g280475	*
Cre06.g280500	AT4G21670
Cre06.g280550	AT3G47120
Cre06.g280600	AT5G55490
Cre06.g280650	AT5G44650
Cre06.g280700	AT4G19190
Cre06.g280750	*
Cre06.g280800	AT4G37210
Cre06.g280850	AT1G56450
Cre06.g280900	AT2G45200
Cre06.g280950	AT2G36580
Cre06.g281000	AT2G18850
Cre06.g281050	AT5G06140
Cre06.g281100	AT2G25760
Cre06.g281150	*
Cre06.g281200	AT4G21820
Cre06.g281250	AT3G23510
Cre06.g281286	*
Cre06.g281300	*
Cre06.g281350	AT5G26860
Cre06.g281400	*
Cre06.g281450	*
Cre06.g281500	*
Cre06.g281526	*
Cre06.g281550	AT5G49060
Cre06.g281600	*
Cre06.g281650	*
Cre06.g281700	*
Cre06.g281750	AT5G52220
Cre06.g281800	*
Cre06.g281850	*
Cre06.g281900	AT3G08650
Cre06.g281950	*
Cre06.g282000	AT1G11720
Cre06.g282050	*
Cre06.g282100	*
Cre06.g282150	AT5G20990
Cre06.g282200	AT4G29160
Cre06.g282250	*
Cre06.g282251	*
Cre06.g282300	*
Cre06.g282350	*
Cre06.g282400	*
Cre06.g282450	AT2G17720
Cre06.g282500	AT2G39460
Cre06.g282550	*
Cre06.g282600	AT5G05450
Cre06.g282700	*
Cre06.g282750	*
Cre06.g282800	AT3G21720
Cre06.g282900	*
Cre06.g282950	AT5G63220
Cre06.g283000	*
Cre06.g283034	AT5G19050
Cre06.g283100	*
Cre06.g283150	AT3G21865
Cre06.g283200	AT3G55080
Cre06.g283250	*
Cre06.g283300	AT3G09890
Cre06.g283350	*
Cre06.g283400	AT2G35840
Cre06.g283450	*
Cre06.g283500	AT5G41140
Cre06.g283550	AT3G50360
Cre06.g283600	*
Cre06.g283700	*
Cre06.g283750	AT3G11945
Cre06.g283800	*
Cre06.g283850	*
Cre06.g283900	AT1G32120
Cre06.g283950	AT2G05100
Cre06.g284000	*
Cre06.g284050	AT5G45600
Cre06.g284100	AT3G24300
Cre06.g284150	AT3G24300
Cre06.g284200	AT2G05070
Cre06.g284300	*
Cre06.g284400	AT1G13330
Cre06.g284450	AT5G11860
Cre06.g284500	AT3G61620
Cre06.g284550	*
Cre06.g284600	AT5G51010
Cre06.g284650	*
Cre06.g284700	AT1G72330
Cre06.g284750	AT1G18070
Cre06.g284800	AT4G38890
Cre06.g284850	AT5G52910
Cre06.g284900	AT2G29960
Cre06.g284950	*
Cre06.g285000	*
Cre06.g285050	*
Cre06.g285100	*
Cre06.g285150	AT4G32320
Cre06.g285200	AT2G42070
Cre06.g285300	AT3G20660
Cre06.g285350	*
Cre06.g285400	*
Cre06.g285450	*
Cre06.g285500	AT5G13340
Cre06.g285550	AT3G24715
Cre06.g285600	AT4G35590
Cre06.g285650	AT1G26840
Cre06.g285700	AT1G73200
Cre06.g285750	*
Cre06.g285800	*
Cre06.g285850	*
Cre06.g285900	AT1G10510
Cre06.g285950	*
Cre06.g286000	*
Cre06.g286050	AT4G26180
Cre06.g286100	*
Cre06.g286150	*
Cre06.g286200	*
Cre06.g286250	AT4G39460
Cre06.g286300	*
Cre06.g286350	*
Cre06.g286400	*
Cre06.g286450	AT3G13340
Cre06.g286500	*
Cre06.g286550	*
Cre06.g286600	AT1G43690
Cre06.g286650	AT5G49160
Cre06.g286700	*
Cre06.g286750	*
Cre06.g286800	*
Cre06.g286850	AT3G47390
Cre06.g286900	*
Cre06.g286950	AT3G04710
Cre06.g287000	AT4G26740
Cre06.g287050	*
Cre06.g287100	AT5G37780
Cre06.g287150	AT1G78230
Cre06.g287176	*
Cre06.g287200	*
Cre06.g287300	AT5G02620
Cre06.g287350	*
Cre06.g287500	*
Cre06.g287600	AT2G17390
Cre06.g287650	AT2G28840
Cre06.g287700	AT4G35780
Cre06.g287750	AT5G23300
Cre06.g287800	AT2G15910
Cre06.g287850	*
Cre06.g287900	*
Cre06.g287950	AT1G08600
Cre06.g288000	*
Cre06.g288050	*
Cre06.g288100	AT4G10760
Cre06.g288150	*
Cre06.g288350	*
Cre06.g288400	ATCG00750
Cre06.g288450	AT4G26580
Cre06.g288500	AT1G19360
Cre06.g288550	*
Cre06.g288600	*
Cre06.g288650	AT4G30950
Cre06.g288700	AT4G36400
Cre06.g288750	AT1G13690
Cre06.g288850	*
Cre06.g288900	*
Cre06.g288908	AT3G12690
Cre06.g288950	*
Cre06.g289000	*
Cre06.g289033	*
Cre06.g289050	*
Cre06.g289100	*
Cre06.g289150	AT1G51610
Cre06.g289200	*
Cre06.g289300	*
Cre06.g289350	AT2G47020
Cre06.g289400	*
Cre06.g289450	AT2G20320
Cre06.g289500	*
Cre06.g289600	*
Cre06.g289700	AT1G51160
Cre06.g289750	AT5G25380
Cre06.g289800	*
Cre06.g289850	AT5G03650
Cre06.g289950	AT2G06990
Cre06.g290000	AT4G17050
Cre06.g290050	*
Cre06.g290100	AT1G28490
Cre06.g290200	*
Cre06.g290250	*
Cre06.g290300	*
Cre06.g290350	*
Cre06.g290450	AT4G03110
Cre06.g290500	AT4G29380
Cre06.g290800	AT1G45231
Cre06.g290850	*
Cre06.g290900	*
Cre06.g291050	*
Cre06.g291100	*
Cre06.g291150	AT5G14610
Cre06.g291200	AT4G14385
Cre06.g291250	AT1G26300
Cre06.g291300	*
Cre06.g291350	AT5G65770
Cre06.g291400	*
Cre06.g291450	*
Cre06.g291500	AT4G35590
Cre06.g291550	*
Cre06.g291600	AT2G26830
Cre06.g291650	AT3G16250
Cre06.g291700	*
Cre06.g291750	*
Cre06.g291800	AT4G23660
Cre06.g291850	AT1G10510
Cre06.g291900	AT5G14240
Cre06.g291950	AT1G16010
Cre06.g292000	AT4G32760
Cre06.g292050	*
Cre06.g292100	AT1G31410
Cre06.g292150	*
Cre06.g292350	AT1G31830
Cre06.g292400	AT2G46100
Cre06.g292450	AT1G76120
Cre06.g292500	AT1G26940
Cre06.g292550	AT2G39840
Cre06.g292600	*
Cre06.g292650	AT3G48060
Cre06.g292700	AT4G33950
Cre06.g292800	AT3G13550
Cre06.g292850	AT2G29680
Cre06.g292900	*
Cre06.g292950	AT1G09815
Cre06.g293000	AT1G67320
Cre06.g293100	AT1G28490
Cre06.g293150	*
Cre06.g293200	*
Cre06.g293250	AT4G39920
Cre06.g293300	AT1G67890
Cre06.g293362	*
Cre06.g293400	*
Cre06.g293450	*
Cre06.g293700	AT4G36420
Cre06.g293750	AT3G47120
Cre06.g293800	*
Cre06.g293850	AT5G63510
Cre06.g293900	*
Cre06.g293950	AT4G13930
Cre06.g294000	AT2G32520
Cre06.g294050	*
Cre06.g294100	*
Cre06.g294150	*
Cre06.g294200	*
Cre06.g294250	*
Cre06.g294400	AT3G52640
Cre06.g294450	AT1G06690
Cre06.g294500	*
Cre06.g294550	AT5G24000
Cre06.g294600	AT1G66040
Cre06.g294650	AT2G13360
Cre06.g294700	AT1G05320
Cre06.g294750	AT3G51820
Cre06.g294800	AT1G78620
Cre06.g294850	AT2G02760
Cre06.g294900	*
Cre06.g294950	AT2G05990
Cre06.g295000	*
Cre06.g295050	*
Cre06.g295100	*
Cre06.g295150	*
Cre06.g295200	AT4G08920
Cre06.g295250	AT5G66450
Cre06.g295300	*
Cre06.g295350	*
Cre06.g295400	AT5G46800
Cre06.g295450	AT1G68010
Cre06.g295500	*
Cre06.g295550	*
Cre06.g295600	AT4G10760
Cre06.g295700	AT5G46280
Cre06.g295950	*
Cre06.g296000	*
Cre06.g296050	AT1G19250
Cre06.g296100	*
Cre06.g296200	AT2G31500
Cre06.g296250	AT3G13490
Cre06.g296300	*
Cre06.g296350	AT3G06910
Cre06.g296400	AT3G45300
Cre06.g296450	*
Cre06.g296500	AT5G65450
Cre06.g296550	AT1G19250
Cre06.g296600	AT2G20690
Cre06.g296650	*
Cre06.g296700	*
Cre06.g296750	*
Cre06.g296800	*
Cre06.g296850	*
Cre06.g296900	*
Cre06.g297150	AT1G74480
Cre06.g297200	*
Cre06.g297250	*
Cre06.g297400	AT1G23740
Cre06.g297450	*
Cre06.g297500	*
Cre06.g297516	*
Cre06.g297550	AT4G34340
Cre06.g297600	*
Cre06.g297650	*
Cre06.g297700	AT4G28080
Cre06.g297750	AT5G06160
Cre06.g297800	*
Cre06.g297850	*
Cre06.g297900	AT4G03410
Cre06.g297904	AT5G01310
Cre06.g297950	*
Cre06.g298000	*
Cre06.g298050	*
Cre06.g298100	AT4G27130
Cre06.g298150	*
Cre06.g298200	*
Cre06.g298219	*
Cre06.g298300	AT4G34830
Cre06.g298350	AT5G36230
Cre06.g298400	*
Cre06.g298450	*
Cre06.g298500	*
Cre06.g298550	AT1G19250
Cre06.g298600	AT1G70150
Cre06.g298650	AT3G13920
Cre06.g298700	*
Cre06.g298750	AT2G41190
Cre06.g298800	*
Cre06.g298850	*
Cre06.g298900	*
Cre06.g298911	*
Cre06.g298950	*
Cre06.g299000	AT4G30930
Cre06.g299050	AT3G51520
Cre06.g299100	*
Cre06.g299200	AT1G73170
Cre06.g299250	*
Cre06.g299300	AT3G61650
Cre06.g299450	AT5G09390
Cre06.g299500	*
Cre06.g299550	*
Cre06.g299600	AT5G62160
Cre06.g299650	AT1G11750
Cre06.g299750	AT2G37975
Cre06.g299800	AT3G23790
Cre06.g299850	AT2G19640
Cre06.g299900	*
Cre06.g299950	*
Cre06.g300050	*
Cre06.g300121	*
Cre06.g300150	*
Cre06.g300200	AT4G16530
Cre06.g300250	AT1G77550
Cre06.g300300	*
Cre06.g300350	*
Cre06.g300400	AT1G73170
Cre06.g300450	AT1G73170
Cre06.g300500	*
Cre06.g300550	AT2G35170
Cre06.g300600	AT1G76580
Cre06.g300650	AT2G11000
Cre06.g300700	AT2G34460
Cre06.g300750	AT2G38770
Cre06.g300800	AT5G40950
Cre06.g300900	AT1G13120
Cre06.g301000	AT1G73660
Cre06.g301050	AT5G52210
Cre06.g301100	*
Cre06.g301150	*
Cre06.g301450	*
Cre06.g301500	*
Cre06.g301550	AT5G64500
Cre06.g301600	AT5G43710
Cre06.g301650	*
Cre06.g301750	*
Cre06.g301800	*
Cre06.g301802	*
Cre06.g301806	*
Cre06.g301850	*
Cre06.g301900	*
Cre06.g301950	*
Cre06.g302000	*
Cre06.g302050	AT5G13000
Cre06.g302150	*
Cre06.g302200	*
Cre06.g302250	*
Cre06.g302300	*
Cre06.g302305	*
Cre06.g302350	*
Cre06.g302389	*
Cre06.g302400	*
Cre06.g302450	*
Cre06.g302500	*
Cre06.g302600	*
Cre06.g302650	AT5G13830
Cre06.g302700	AT1G10510
Cre06.g302750	AT1G15470
Cre06.g302800	AT3G48260
Cre06.g302850	AT2G15860
Cre06.g302900	AT4G32630
Cre06.g302950	*
Cre06.g303000	AT1G15740
Cre06.g303050	AT5G48810
Cre06.g303100	AT5G35980
Cre06.g303150	AT2G24360
Cre06.g303171	*
Cre06.g303183	*
Cre06.g303300	AT3G15520
Cre06.g303350	*
Cre06.g303400	*
Cre06.g303450	*
Cre06.g303483	AT5G16600
Cre06.g303500	AT1G33520
Cre06.g303550	*
Cre06.g303572	*
Cre06.g303600	*
Cre06.g303650	AT1G71350
Cre06.g303700	*
Cre06.g303800	*
Cre06.g303850	*
Cre06.g303900	AT4G37680
Cre06.g303950	*
Cre06.g304000	AT2G40770
Cre06.g304050	AT3G27580
Cre06.g304100	AT4G34490
Cre06.g304150	AT5G13530
Cre06.g304250	*
Cre06.g304300	AT1G47250
Cre06.g304350	AT1G22450
Cre06.g304400	AT5G20140
Cre06.g304500	AT2G47450
Cre06.g304550	AT5G25800
Cre06.g304600	AT1G17850
Cre06.g304650	AT5G09350
Cre06.g304700	*
Cre06.g304750	AT5G54310
Cre06.g304800	AT1G21630
Cre06.g304850	AT4G11860
Cre06.g304876	*
Cre06.g304950	*
Cre06.g305000	AT5G16750
Cre06.g305050	AT1G11800
Cre06.g305100	*
Cre06.g305150	*
Cre06.g305200	AT1G30970
Cre06.g305250	AT1G11800
Cre06.g305251	AT2G41500
Cre06.g305350	*
Cre06.g305400	*
Cre06.g305450	*
Cre06.g305500	AT5G23230
Cre06.g305550	*
Cre06.g305600	AT5G63620
Cre06.g305650	AT3G44880
Cre06.g305700	*
Cre06.g305750	AT4G34150
Cre06.g305800	*
Cre06.g305850	AT3G60910
Cre06.g305900	AT5G19980
Cre06.g305950	*
